"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"CLCN6",2348,2446,6151,6593
"NPPA-AS1",104,90,48,78
"NPPA",0,1,102,71
"NPPB",41,17,5,14
"KIAA2013",5654,5206,2490,2456
"PLOD1",24557,22581,3489,3512
"MFN2",9830,9400,12481,13100
"MIIP",2438,2130,1221,1333
"TNFRSF8",587,398,13,10
"TNFRSF1B",1421,1354,961,938
"MIR4632",0,5,0,0
"VPS13D",4900,5219,10433,10323
"SNORA59B",0,0,0,0
"SNORA59A",0,0,0,0
"DHRS3",1108,1076,1070,1211
"AADACL4",0,0,0,0
"AADACL3",11,9,0,0
"C1orf158",5,2,11,9
"PRAMEF12",0,0,0,0
"PRAMEF1",0,0,0,0
"PRAMEF11",60,50,0,0
"LOC649330",0,0,0,0
"HNRNPCL1",0,0,0,0
"PRAMEF2",27,55,0,0
"PRAMEF4",105,129,0,0
"PRAMEF10",0,0,0,0
"PRAMEF8",0,0,0,0
"PRAMEF7",0,0,0,0
"PRAMEF6",2,10,0,0
"PRAMEF22",0,0,0,0
"PRAMEF5",0,0,0,0
"LOC440563",3,7,0,0
"PRAMEF3",0,0,0,0
"PRAMEF9",0,0,0,0
"PRAMEF15",0,0,0,0
"PRAMEF14",0,0,0,0
"PRAMEF13",0,0,0,0
"PRAMEF19",0,0,0,0
"PRAMEF18",0,0,0,0
"PRAMEF16",0,0,0,0
"PRAMEF20",0,0,0,0
"PRAMEF21",0,0,0,0
"PRAMEF17",0,0,0,0
"LRRC38",539,520,373,486
"PDPN",2413,2198,1132,1283
"PRDM2",2838,3004,8884,9263
"KAZN",1214,1215,11454,11698
"TMEM51-AS1",337,318,1798,1858
"TMEM51",1120,1165,632,711
"FHAD1",85,102,48,67
"EFHD2",6161,5392,8713,9068
"CTRC",9,10,0,8
"CELA2A",0,0,0,0
"CELA2B",0,0,0,0
"CASP9",1937,1751,1129,1283
"DNAJC16",1694,1651,2084,2011
"AGMAT",1322,1377,187,153
"DDI2",607,575,187,185
"RSC1A1",565,529,269,193
"PLEKHM2",6330,5972,16207,17737
"SLC25A34",115,115,682,722
"TMEM82",4,3,0,0
"FBLIM1",1938,1783,342,360
"UQCRHL",1153,984,557,664
"FLJ37453",422,328,662,617
"SPEN",10848,10875,9674,10079
"ZBTB17",1955,1694,1981,2290
"C1orf64",147,116,631,612
"HSPB7",558,487,595,645
"CLCNKA",59,52,518,527
"CLCNKB",32,52,292,278
"FAM131C",111,119,1989,1965
"EPHA2",3657,3469,349,411
"ARHGEF19",1166,982,71,96
"RSG1",253,239,235,306
"FBXO42",2129,2019,2141,2197
"SZRD1",11489,10701,3714,3851
"SPATA21",27,26,21,26
"NECAP2",3460,3392,1206,1280
"CROCCP3",294,283,1534,1417
"MIR3675",0,0,0,0
"NBPF1",2062,1968,2341,2290
"CROCCP2",1847,1792,3093,2903
"MST1P2",2154,1860,186,282
"ESPNP",92,59,7,31
"MST1L",389,331,111,59
"CROCC",1700,1531,3100,3077
"MFAP2",1343,1099,6,13
"ATP13A2",4581,3906,12978,13598
"SDHB",5722,5459,5215,5347
"PADI2",225,185,13267,13317
"PADI1",25,38,10,29
"PADI3",105,72,0,0
"PADI4",11,14,40,86
"PADI6",0,3,2,0
"RCC2",23139,21608,3631,4206
"ARHGEF10L",2244,2043,7758,7894
"ACTL8",426,425,1,5
"IGSF21",80,56,5852,6451
"KLHDC7A",164,168,38,57
"PAX7",3,3,287,281
"TAS1R2",0,0,0,0
"ALDH4A1",3520,3061,3893,4107
"MIR4695",0,0,0,0
"IFFO2",1712,1782,4606,4616
"UBR4",23674,22623,14519,14958
"EMC1",9618,9447,4703,4907
"MRTO4",5708,5128,2042,2061
"AKR7L",87,68,118,121
"AKR7A3",77,47,132,125
"LOC100506730",411,426,673,546
"AKR7A2",3569,3247,1886,2023
"PQLC2",1143,1094,906,1016
"CAPZB",12541,11646,10410,11397
"MINOS1",3123,2943,4463,4187
"C1orf151-NBL1",0,0,2,0
"NBL1",96,72,161,188
"HTR6",20,13,79,47
"TMCO4",1404,1339,153,203
"RNF186",1,6,0,1
"OTUD3",1842,1868,2451,2414
"PLA2G2E",0,0,0,0
"PLA2G2A",512,508,22,22
"PLA2G5",23,32,249,271
"PLA2G2D",5,4,3,7
"PLA2G2F",1,0,0,0
"PLA2G2C",2,3,0,0
"UBXN10",126,110,507,542
"VWA5B1",5,10,20,17
"LOC339505",3,4,71,95
"CAMK2N1",2804,2770,28159,27810
"MUL1",2475,2364,1779,1911
"FAM43B",167,160,1556,1773
"CDA",751,615,137,164
"PINK1",2826,2631,23698,23911
"DDOST",25803,23903,5289,5404
"KIF17",148,146,1272,1166
"SH2D5",211,239,2892,3066
"HP1BP3",16887,17298,12783,12006
"EIF4G3",8968,9199,11840,11561
"ECE1",11730,10651,3753,4078
"LOC100506801",70,55,0,0
"NBPF3",617,645,719,679
"ALPL",632,661,1640,1541
"RAP1GAP",2032,1943,19691,20850
"USP48",6614,6619,5807,5443
"LDLRAD2",54,57,18,18
