"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"GPRIN2",34,31,264,270
"PPYR1",19,21,43,21
"LINC00842",94,101,36,31
"HNRNPA1P33",174,150,3,3
"ANXA8",1,0,0,0
"ANXA8L1",0,0,0,0
"FAM25G",0,0,0,0
"FAM25B",0,0,0,0
"FAM25C",0,0,0,0
"AGAP9",42,24,16,11
"BMS1P2",0,0,0,0
"BMS1P6",0,0,0,0
"FAM35DP",15,12,13,5
"ANXA8L2",28,32,2,1
"FAM21B",253,262,553,559
"CTSL1P2",0,0,0,0
"ZNF488",194,154,2363,2837
"RBP3",0,0,25,33
"GDF2",5,4,1,0
"GDF10",37,45,959,936
"FRMPD2P1",0,0,4,1
"LOC399753",55,29,102,154
"FRMPD2",9,10,154,104
"MAPK8",1152,1141,1640,1648
"ARHGAP22",946,921,1320,1314
"WDFY4",280,273,259,293
"LRRC18",14,0,0,1
"MIR4294",0,0,0,1
"VSTM4",601,485,1552,1533
"FAM170B-AS1",0,0,0,0
"FAM170B",0,3,4,0
"C10orf128",108,135,124,126
"C10orf71",51,56,0,2
"DRGX",0,0,10,21
"ERCC6",1012,1190,939,1039
"PGBD3",254,221,125,147
"CHAT",10,4,8,11
"SLC18A3",3,0,14,16
"C10orf53",0,0,1,0
"OGDHL",670,661,8786,8787
"PARG",1235,1177,980,899
"AGAP8",127,88,149,144
"LOC728407",0,0,0,0
"AGAP7",137,190,42,51
"MSMB",40,29,0,0
"NCOA4",12574,12630,8662,8651
"TIMM23",2432,2220,1872,1863
"AGAP6",1499,1310,1055,1084
"FLJ31813",29,7,44,65
"FAM21A",158,159,207,210
"ASAH2",9,7,6,8
"SGMS1",1633,1494,1995,1866
"ASAH2B",39,25,3,30
"A1CF",745,804,4,0
"PRKG1",145,135,545,477
"MIR605",0,0,0,0
"CSTF2T",2452,2477,2876,2839
"PRKG1-AS1",10,15,12,17
"DKK1",1586,1580,127,107
"MBL2",57,79,0,0
"PCDH15",94,69,371,462
"MTRNR2L5",0,0,0,0
"ZWINT",5916,5707,109,164
"MIR3924",0,0,0,0
"IPMK",629,658,600,459
"CISD1",1542,1469,2998,2975
"UBE2D1",617,555,925,704
"TFAM",3624,3821,1655,1431
"BICC1",488,526,138,195
"FAM133CP",8,1,3,1
"PHYHIPL",499,471,12109,11406
"FAM13C",46,54,3505,3331
"SLC16A9",354,369,1015,947
"M1",2,3,348,332
"CCDC6",3496,3477,5044,4351
"C10orf40",1,0,0,2
"ANK3",1587,1588,29694,28941
"CDK1",6603,6553,70,57
"RHOBTB1",2113,2141,1125,1178
"TMEM26",175,146,17,38
"C10orf107",64,72,193,125
"ARID5B",2580,2732,2813,2690
"MIR548AV",0,0,0,0
"RTKN2",510,606,156,104
"ZNF365",125,123,10476,9476
"ADO",1853,1756,3977,3190
"EGR2",584,526,178,169
"NRBF2",1433,1544,1319,1256
"JMJD1C",4038,4350,8322,7455
"MIR1296",0,0,0,3
"JMJD1C-AS1",59,56,14,22
"REEP3",1659,1699,2417,2076
"ANXA2P3",3,1,7,10
"CTNNA3",12,9,662,570
"LRRTM3",81,89,1774,1647
"DNAJC12",985,921,2997,3080
"SIRT1",2085,2118,1561,1526
"HERC4",5691,5957,2789,2742
"MYPN",1434,1418,18,9
"ATOH7",8,9,226,172
"PBLD",217,205,377,370
"HNRNPH3",12917,12959,10260,9695
"RUFY2",996,1132,4124,3821
"DNA2",1609,1715,366,343
"SLC25A16",663,681,462,465
"TET1",1376,1527,178,164
"CCAR1",6978,7365,4034,3859
"SNORD98",1,1,1,0
"STOX1",345,296,1225,1210
"DDX50",4016,4025,2047,1984
"DDX21",16152,16820,2542,2303
"KIAA1279",1812,1880,5776,5648
"SRGN",3252,3317,2522,2502
"VPS26A",3537,3812,3981,3245
"SUPV3L1",2485,2499,1744,1832
"HKDC1",292,312,120,123
"HK1",15283,14077,24195,23638
"TACR2",10,18,85,49
"TSPAN15",946,940,2899,2888
"NEUROG3",1,0,6,3
"C10orf35",385,305,2178,2291
"COL13A1",612,637,1923,1919
"H2AFY2",1178,1006,1060,1084
"AIFM2",1837,1658,774,793
"TYSND1",1901,1720,1015,1025
"SAR1A",5878,6102,6047,5321
"PPA1",9067,9268,12868,12243
"NPFFR1",0,4,105,118
"LRRC20",1833,1602,3283,3370
"EIF4EBP2",9213,9081,8261,7609
"NODAL",13,0,28,10
"PALD1",882,855,1599,1788
"PRF1",51,33,50,33
"ADAMTS14",1675,1617,631,715
"TBATA",0,0,0,0
"SGPL1",3374,3474,2420,2364
"PCBD1",2957,2588,2880,2706
"UNC5B",2021,1755,6193,6448
"UNC5B-AS1",6,0,22,12
"SLC29A3",613,590,414,433
"CDH23",96,104,2407,2406
"C10orf105",1,7,448,375
"C10orf54",627,652,2674,3031
"PSAP",75909,70589,101688,103119
"CHST3",1962,1832,2573,2582
"SPOCK2",606,625,54596,54651
"ASCC1",2075,1986,2332,2188
"ANAPC16",4740,4409,3559,3095
"DDIT4",19362,17011,5883,6148
"DNAJB12",2887,2722,3233,3293
"MIR1256",0,0,3,6
"MICU1",3782,3593,8662,8706
"MCU",1991,2114,2427,2487
"MIR4676",0,0,0,0
"OIT3",3,1,9,10
"PLA2G12B",42,45,0,0
"P4HA1",10213,10705,1574,1472
"NUDT13",264,245,69,70
"ECD",2681,2563,1756,1909
"FAM149B1",1102,1247,1668,1702
"DNAJC9",4360,4070,1792,1755
"DNAJC9-AS1",5,15,2,0
"MRPS16",5903,5838,2817,2771
"TTC18",106,97,319,331
"ANXA7",6770,6808,8173,8179
"MSS51",164,143,272,262
"PPP3CB",2159,2348,16199,14199
"USP54",2226,2327,10951,11072
"MYOZ1",21,19,69,56
"SYNPO2L",8,16,8,15
"AGAP5",300,277,226,219
"BMS1P4",386,397,150,121
"GLUD1P3",343,343,363,390
"SEC24C",11870,10671,8789,9083
"FUT11",1083,999,457,493
"CHCHD1",1778,1685,1281,1193
"ZSWIM8",5401,5098,7189,7902
"ZSWIM8-AS1",179,190,362,340
"NDST2",1868,1769,2654,2887
"CAMK2G",3038,3031,19282,20198
"C10orf55",31,27,3,1
"PLAU",4857,4589,132,161
"VCL",13243,12902,3322,3285
"AP3M1",5012,5301,2542,2573
"ADK",2785,2779,1158,1008
"KAT6B",2734,2669,3112,3097
"DUPD1",0,0,0,0
"DUSP13",127,89,3,6
"SAMD8",1685,1819,5461,4750
"VDAC2",8283,8292,6743,6571
"COMTD1",909,762,240,255
"ZNF503-AS1",22,42,4,6
"ZNF503",1130,898,638,671
"ZNF503-AS2",144,166,78,58
"C10orf11",232,222,117,109
"KCNMA1",2621,2690,11368,11026
"DLG5",7515,7345,3650,3632
"DLG5-AS1",46,41,65,100
"POLR3A",4116,3928,4428,4305
"RPS24",66327,64093,19108,19442
"LINC00856",33,29,51,42
"LINC00595",6,2,16,19
"ZMIZ1-AS1",158,123,46,73
"ZMIZ1",11411,10478,11783,12328
"PPIF",8064,7865,4209,4246
"ZCCHC24",2424,2239,10112,10672
"EIF5AL1",146,152,80,73
"SFTPA2",10,1,176,195
"SFTPA1",12,9,2,5
"BEND3P3",0,0,2,4
"LOC642361",155,103,100,112
"LOC100288974",2,11,10,8
"MBL1P",21,21,21,19
"SFTPD",29,25,151,123
"TMEM254-AS1",139,159,369,369
"TMEM254",1362,1504,1106,1206
"PLAC9",125,101,93,136
"ANXA11",10268,9254,6828,7277
"LINC00857",67,70,52,38
"MAT1A",1011,872,11,28
"DYDC1",0,0,0,0
"DYDC2",54,44,64,71
"FAM213A",3362,3273,7823,7666
"TSPAN14",7709,7174,3580,3626
"SH2D4B",7,1,26,4
"NRG3",15,17,1933,1613
"GHITM",13351,12993,21211,19870
"C10orf99",0,0,0,0
"CDHR1",327,320,2212,2159
"LRIT2",0,0,2,6
"LRIT1",4,4,0,0
"RGR",1,1,280,289
"LINC00858",38,18,3,0
"CCSER2",1885,1827,7250,5965
"GRID1-AS1",0,0,0,1
"GRID1",35,22,3130,3261
"MIR346",0,0,0,0
"WAPAL",5102,5189,3090,2673
"OPN4",9,9,98,115
"LDB3",66,91,2149,2206
"BMPR1A",1531,1490,1001,886
"MMRN2",48,50,1270,1164
"SNCG",316,353,7373,7498
"ADIRF",31,28,1634,1690
"AGAP11",89,139,106,137
"FAM25A",8,0,0,0
"GLUD1",13549,13390,18771,18124
"FAM35A",2360,2238,759,815
"FAM22A",27,25,34,22
"LOC728190",508,470,501,621
"LOC439994",118,114,95,122
"FAM22D",58,34,118,143
"LOC728218",2,0,0,5
"MIR4678",0,0,0,0
"MINPP1",1378,1455,775,650
"PAPSS2",1536,1695,745,714
"ATAD1",3744,3827,4186,3861
"CFL1P1",23,16,27,47
"KLLN",124,96,95,95
"PTEN",3871,4218,7222,6022
"RNLS",96,162,330,296
"LIPJ",0,0,21,4
"LIPF",3,3,7,7
"LIPK",3,0,0,0
"LIPN",0,0,0,0
"LIPM",0,0,0,0
"ANKRD22",17,34,28,58
"STAMBPL1",1054,964,1436,1535
"ACTA2",720,706,3216,3412
"FAS",539,607,452,448
"FAS-AS1",0,0,0,4
"MIR4679-2",0,0,0,0
"MIR4679-1",0,0,0,0
"CH25H",114,115,164,185
"LIPA",3420,3182,5681,5241
"IFIT2",382,404,1578,1314
"IFIT3",677,606,1237,1018
"IFIT1B",0,0,0,11
"IFIT1",440,419,3957,3702
"IFIT5",577,613,1934,1739
"SLC16A12",71,58,86,71
"PANK1",1077,1130,1705,1565
"MIR107",0,0,0,0
"FLJ37201",71,103,51,52
"KIF20B",2752,3144,327,247
"LOC643529",26,34,289,283
"HTR7",313,327,98,102
"RPP30",1762,1726,1275,1346
"ANKRD1",910,904,19,31
"LINC00502",0,0,0,0
"NUDT9P1",14,24,41,44
"PCGF5",2937,3092,5080,4049
"LOC100188947",24,3,38,18
"HECTD2",624,675,1605,1228
"PPP1R3C",1302,1418,1474,1491
"TNKS2",4384,4459,5559,4880
"FGFBP3",404,401,324,324
"BTAF1",7918,7884,3577,3561
"CPEB3",274,229,2283,2076
"MARCH5",2186,2274,2085,2070
"MARK2P9",0,0,0,0
"IDE",3115,3210,1403,1252
"KIF11",5537,5982,128,110
"HHEX",1640,1547,151,191
"EXOC6",1099,1109,1287,1200
"CYP26C1",4,2,8,6
"CYP26A1",297,293,136,123
"MYOF",12188,11986,967,956
"CEP55",2800,3017,3,5
"FFAR4",1,0,135,138
"RBP4",5108,4627,1191,1219
"PDE6C",0,0,0,0
"FRA10AC1",1106,1196,2000,1720
"LGI1",46,26,3643,3544
"SLC35G1",207,300,28,26
"PIPSL",20,20,19,9
"PLCE1",636,599,957,853
"LOC100128054",0,0,0,2
"NOC3L",2319,2244,660,549
"TBC1D12",700,789,3443,3009
"HELLS",1924,1971,41,41
"CYP2C18",8,3,37,24
"CYP2C19",0,0,5,8
"CYP2C9",0,5,0,3
"CYP2C8",28,33,179,190
"C10orf129",1,0,0,0
"PDLIM1",5312,5157,669,609
"SORBS1",1260,1233,16896,16568
"ALDH18A1",9202,8719,2224,2111
"TCTN3",3743,3638,2034,2029
"ENTPD1",73,65,714,689
"LOC728558",91,63,55,44
"C10orf131",5,9,3,3
"CC2D2B",2,0,9,9
"CCNJ",1250,1268,430,359
"MIR3157",1,0,0,0
"ZNF518A",2580,2761,1850,1586
"BLNK",508,552,129,145
"DNTT",246,259,0,1
"OPALIN",2,7,11267,11303
"TLL2",72,92,544,481
"TM9SF3",8536,9074,8670,7289
"PIK3AP1",408,458,383,319
"LCOR",1163,1237,1689,1350
"C10orf12",507,605,150,159
"SLIT1",1713,1537,6549,6717
"LOC100505540",0,0,0,0
"ARHGAP19-SLIT1",6,20,0,3
"ARHGAP19",2252,2140,783,766
"FRAT1",345,296,458,491
"FRAT2",1535,1469,782,821
"RRP12",4739,4683,1892,2219
"PGAM1",8644,8423,6967,6918
"EXOSC1",1872,1773,981,1024
"ZDHHC16",2627,2533,1475,1592
"MMS19",5823,5550,5419,5876
"UBTD1",648,526,840,860
"ANKRD2",10,6,173,238
"HOGA1",155,115,483,490
"C10orf62",1,0,7,3
"MIR5692C2",0,0,0,0
"MORN4",750,726,2544,2475
"PI4K2A",2796,2554,4556,4701
"AVPI1",2182,2062,1707,1725
"MARVELD1",5034,4563,533,492
"ZFYVE27",3013,2697,5444,5558
"SFRP5",18,14,140,170
"GOLGA7B",199,171,10665,10813
"CRTAC1",99,100,2768,2885
"R3HCC1L",1614,1527,819,909
"LOXL4",863,817,63,78
"PYROXD2",1324,1188,317,350
"MIR1287",0,0,0,0
"HPS1",3279,2819,3672,3847
"MIR4685",2,0,0,1
"HPSE2",10,5,572,662
"CNNM1",431,434,4385,4753
"GOT1",5129,4577,20807,21869
"NKX2-3",3,6,0,0
"SLC25A28",1737,1533,3102,3352
"ENTPD7",1164,1150,391,253
"COX15",3807,3964,2574,2502
"CUTC",1355,1293,959,952
"ABCC2",6777,6904,46,56
"DNMBP",2668,2735,982,995
"DNMBP-AS1",1,1,31,17
"CPN1",216,187,0,0
"ERLIN1",6577,6530,1241,1319
"CHUK",2106,2054,1188,1307
"CWF19L1",1979,2142,2008,1823
"SNORA12",1,7,4,5
"BLOC1S2",1694,1796,4046,3834
"PKD2L1",9,2,174,220
"SCD",101497,101305,83921,81681
"LINC00263",955,871,1269,1325
"WNT8B",8,4,6,0
"SEC31B",1808,1737,3690,3596
"NDUFB8",5724,5199,11392,11817
"HIF1AN",4280,4090,3639,3494
"PAX2",3,4,179,154
"FAM178A",3531,3490,3739,3498
"SEMA4G",2067,1911,2137,2058
"MIR608",0,0,0,0
"MRPL43",2714,2316,2934,2934
"C10orf2",2977,2844,561,569
"LZTS2",5139,4221,4840,5171
"PDZD7",230,255,1783,1877
"SFXN3",4829,4474,8449,8545
"KAZALD1",786,693,73,54
"TLX1NB",0,0,0,0
"TLX1",99,84,0,0
"LBX1",6,0,50,39
"FLJ41350",11,11,59,77
"BTRC",2083,2148,6551,6452
"POLL",1665,1440,1517,1560
"DPCD",973,942,823,1035
"MIR3158-2",0,0,0,0
"MIR3158-1",0,0,0,0
"FBXW4",1923,1974,4992,5173
"FGF8",7,4,21,16
"NPM3",2613,2257,379,403
"MGEA5",12583,12663,20069,19186
"LOC100289509",27,30,47,27
"KCNIP2",258,267,6954,6770
"C10orf76",1848,1772,2226,2279
"HPS6",1267,1026,882,915
"LDB1",5880,5371,4450,4684
"PPRC1",5976,5845,1739,1942
"NOLC1",18267,18231,8353,8499
"ELOVL3",36,25,31,20
"PITX3",6,6,6,1
"GBF1",7880,7921,9138,9185
"NFKB2",3923,3532,549,558
"PSD",282,251,18092,19129
"FBXL15",753,511,2400,2362
"CUEDC2",3110,2715,4631,5024
"MIR146B",0,0,0,0
"LOC100505761",1098,979,962,1166
"C10orf95",23,18,14,6
"TMEM180",607,539,1137,1224
"ACTR1A",7338,6843,16020,16127
"SUFU",1524,1453,1550,1414
"TRIM8",3568,3482,7567,7723
"ARL3",1670,1543,5518,5525
"SFXN2",1210,1105,139,118
"WBP1L",2478,2283,2584,2695
"CYP17A1",16,29,2,1
"C10orf32",409,389,1215,863
"C10orf32-AS3MT",0,0,0,0
"AS3MT",12,3,27,26
"CNNM2",1177,1052,1548,1880
"NT5C2",5179,5223,4958,4548
"LOC729020",1,2,0,1
"INA",912,939,21917,21388
"PCGF6",768,759,232,306
"TAF5",887,816,621,551
"USMG5",3353,3393,5403,4932
"MIR1307",0,0,0,0
"PDCD11",8091,7675,1882,1978
"CALHM2",635,573,503,394
"CALHM1",16,7,386,320
"CALHM3",23,10,0,6
"NEURL",439,395,7378,7565
"SH3PXD2A",7532,7480,8889,8685
"LOC100505839",7,5,8,5
"OBFC1",1385,1407,1620,1734
"SLK",4445,4587,3616,3300
"COL17A1",80,99,60,40
"MIR936",0,0,0,0
"SFR1",449,444,325,297
"WDR96",42,47,201,143
"MIR609",0,0,0,0
"GSTO1",8054,7850,4891,5462
"MIR4482-1",3,0,4,1
"GSTO2",343,377,322,417
"ITPRIP",4038,3833,616,700
"CCDC147",52,43,50,50
"SORCS3",0,0,1926,1634
"SORCS1",890,774,2202,2069
"RNU6-53",0,0,0,0
"XPNPEP1",4240,3793,2742,2688
"LOC100505933",11,31,76,99
"ADD3",4211,4609,12911,11552
"MXI1",3402,3436,9282,8664
"SMNDC1",1847,1882,1403,1222
"DUSP5",3078,2807,2088,2026
"SMC3",9125,9499,3533,3352
"RBM20",212,280,132,164
"LOC282997",479,449,26,26
"PDCD4",5342,5735,2756,2397
"MIR4680",0,0,0,0
"BBIP1",604,620,1351,1241
"SHOC2",1892,2158,3991,3499
"RPL13AP6",2,2,0,2
"ADRA2A",168,172,668,785
"GPAM",2221,2108,1629,1427
"TECTB",1,2,0,3
"GUCY2GP",0,0,0,0
"ACSL5",1933,1983,941,1099
"ZDHHC6",2981,2877,1671,1772
"VTI1A",1277,1259,861,854
"MIR4295",0,0,0,0
"TCF7L2",1353,1339,1202,1133
"HABP2",5,2,41,27
"NRAP",2,2,28,32
"CASP7",1679,1686,588,498
"PLEKHS1",6,9,1,4
"MIR4483",0,0,0,0
"DCLRE1A",1728,1763,1377,1352
"NHLRC2",951,1012,613,469
"ADRB1",49,41,574,540
"C10orf118",833,995,1664,1329
"MIR2110",0,0,0,0
"TDRD1",166,228,44,48
"VWA2",45,41,203,170
"AFAP1L2",1011,895,3660,3706
"ABLIM1",5169,5202,45250,43247
"FAM160B1",1413,1436,2125,1910
"TRUB1",1143,1249,1589,1227
"ATRNL1",473,489,8486,7260
"GFRA1",8597,8339,2083,1757
"CCDC172",60,75,0,0
"PNLIPRP3",20,15,0,0
"PNLIP",0,0,0,4
"PNLIPRP1",0,0,0,0
"PNLIPRP2",9,3,5,0
"C10orf82",37,58,28,48
"HSPA12A",1103,1022,15584,14638
"ENO4",18,12,53,63
"KIAA1598",3395,3308,13781,12729
"VAX1",29,37,111,97
"MIR3663",0,0,0,0
"KCNK18",0,0,0,3
"SLC18A2",17,22,56,34
"PDZD8",1837,1931,2129,2183
"EMX2OS",0,6,2496,2331
"EMX2",1,0,774,861
"RAB11FIP2",1217,1162,3323,2928
"CASC2",39,30,250,226
"FAM204A",1377,1467,1791,1703
"PRLHR",0,0,41,55
"CACUL1",2770,2802,2633,2383
"NANOS1",257,262,394,371
"EIF3A",24811,25279,9469,9418
"SNORA19",0,0,0,0
"FAM45A",0,0,0,0
"FAM45B",43,40,111,56
"SFXN4",1975,1800,1072,992
"PRDX3",9458,9402,6562,6005
"GRK5",1199,1325,1322,1498
"MIR4681",0,0,0,0
"RGS10",1133,982,357,387
"TIAL1",6674,7004,5077,5095
"BAG3",4479,4315,5456,5683
"INPP5F",3578,3658,23063,21957
"MCMBP",6265,6192,2441,2403
"SEC23IP",4161,3846,1782,1776
"MIR4682",0,0,0,0
"PPAPDC1A",83,76,756,757
"MIR5694",0,0,0,0
"WDR11-AS1",8,5,92,81
"WDR11",5346,5317,3715,3521
"FGFR2",987,967,10421,10451
"ATE1",959,1027,1225,1106
"NSMCE4A",2670,2646,1079,1137
"TACC2",2135,1984,3274,3341
"BTBD16",33,28,131,154
"PLEKHA1",1968,1816,5429,5249
"MIR3941",0,0,0,0
"ARMS2",1,0,0,1
"HTRA1",5302,4780,17687,18141
"DMBT1",59,41,232,184
"C10orf120",0,0,0,0
"FLJ46361",0,0,0,4
"CUZD1",0,0,0,0
"FAM24B-CUZD1",0,3,0,0
"FAM24B",146,132,111,86
"LOC399815",126,158,34,27
"FAM24A",0,0,0,0
"C10orf88",796,735,1005,1025
"PSTK",214,288,452,454
"IKZF5",1057,1050,2157,1812
"ACADSB",2552,2450,3966,3795
"HMX3",92,61,0,0
"HMX2",2,9,0,0
"BUB3",10238,10428,4097,3633
"GPR26",2,0,1218,1133
"CPXM2",244,222,452,494
"CHST15",2973,3005,2452,2364
"OAT",5767,5452,11265,11678
"NKX1-2",74,54,5,5
"LHPP",919,878,6098,5882
"FAM53B",3858,3512,5391,5777
"METTL10",982,1017,1171,901
"FAM175B",1289,1348,1321,1174
"ZRANB1",2773,3079,6611,6089
"CTBP2",3393,3382,3485,3241
"MIR4296",0,0,0,0
"LOC100169752",0,0,0,0
"TEX36",8,6,0,0
"LOC283038",3,8,21,10
"FLJ37035",38,35,135,172
"C10orf137",1883,1986,1580,1504
"MMP21",0,0,6,12
"UROS",1860,1733,3466,3692
"MIR4484",0,0,0,0
"BCCIP",4589,4957,2290,2452
"DHX32",2480,2487,1228,1287
"FANK1",129,99,139,148
"ADAM12",1604,1713,157,168
"LINC00601",23,13,18,27
"C10orf90",197,232,891,743
"DOCK1",4031,4193,5296,5164
"FAM196A",13,9,362,351
"NPS",0,0,0,0
"FOXI2",16,15,0,1
"CLRN3",1,0,6,15
"PTPRE",769,608,2818,2645
"MKI67",27751,27972,21,57
"MGMT",1001,799,710,738
"EBF3",36,36,71,52
"MIR4297",0,0,0,0
"LOC387723",62,35,119,119
"CTAGE7P",2,0,3,0
"GLRX3",4355,4459,1972,1933
"MIR378C",0,0,0,0
"TCERG1L",61,59,745,727
"FLJ46300",0,4,165,143
"PPP2R2D",1931,1842,3369,3063
"BNIP3",9431,9653,7665,7022
"JAKMIP3",101,93,3474,3283
"DPYSL4",1017,809,3152,3384
"STK32C",571,518,2468,2574
"LRRC27",489,501,1040,1078
"PWWP2B",1035,778,809,978
"C10orf91",82,57,5,1
"INPP5A",1169,1103,8263,7864
"NKX6-2",2,2,2799,3087
"TTC40",11,15,352,432
"LOC399829",0,0,1,0
"GPR123",2,3,2952,3093
"KNDC1",311,282,12040,12228
"UTF1",36,30,5,0
"VENTX",136,137,24,30
"MIR202",0,0,0,0
"ADAM8",410,394,315,287
"TUBGCP2",4438,3920,5005,5217
"ZNF511",1626,1373,842,920
"CALY",10,16,6154,7201
"PRAP1",213,195,23,8
"FUOM",473,431,66,79
"ECHS1",6635,6534,6417,6162
"MIR3944",0,0,0,0
"PAOX",197,164,439,544
"MTG1",2440,2013,1157,1374
"SPRN",68,74,2482,2522
"LOC619207",405,334,261,248
"CYP2E1",168,168,846,812
"SYCE1",11,20,1185,1169
"SPRNP1",4,3,272,246
"FRG2B",0,0,0,0
"DUX4L2",0,0,0,0
"DUX4",0,0,0,0
"DUX4L6",0,0,0,0
"DUX4L3",0,0,0,0
"DUX4L5",0,0,0,0
"DUX4L7",0,0,0,0
"DUX2",2,0,0,0
"LOC100133161",167,146,77,98
"LOC653486",0,0,0,0
"SCGB1C1",0,0,0,0
"ODF3",0,0,0,0
"BET1L",4659,4136,3110,3386
"RIC8A",6026,5593,4907,4646
"SIRT3",1311,1244,2736,3057
"PSMD13",7841,7717,4857,4767
"NLRP6",9,14,17,1
"ATHL1",5205,4537,695,749
"IFITM5",0,0,4,5
"IFITM2",3167,2718,2882,3076
"IFITM1",3762,3281,3121,3398
"IFITM3",15068,13158,11810,12767
"B4GALNT4",3507,2910,7856,8198
"PKP3",2389,2044,74,61
"SIGIRR",1298,1013,737,848
"ANO9",1268,1125,1,8
"PTDSS2",2595,2176,2740,3044
"RNH1",8385,7114,6215,6699
"HRAS",1739,1386,2963,3192
"LRRC56",486,436,386,336
"C11orf35",369,279,68,57
"RASSF7",1668,1324,1321,1312
"MIR210HG",1549,1383,132,162
"MIR210",7,5,1,3
"LOC143666",181,165,436,364
"PHRF1",5023,4127,3585,3909
"IRF7",673,573,537,582
"CDHR5",11,14,3,7
"SCT",0,2,9,3
"DRD4",73,59,115,141
"DEAF1",3677,3379,9079,9541
"TMEM80",895,721,938,885
"EPS8L2",4161,3677,2646,2807
"TALDO1",11076,10175,6421,6668
"PDDC1",4233,3879,5466,5452
"NS3BP",256,208,362,363
"CEND1",25,23,17725,18839
"SLC25A22",3225,2969,10893,11403
"PIDD",2899,2404,1798,1959
"RPLP2",46623,42325,11647,12656
"SNORA52",74,22,8,9
"PNPLA2",5340,4130,4336,4809
"EFCAB4A",767,673,96,111
"CD151",10783,9718,2463,2599
"POLR2L",4230,3646,2095,2326
"TSPAN4",3502,2998,675,691
"CHID1",5097,4752,2774,3056
"AP2A2",4726,4464,12735,13184
"MUC6",22,14,0,1
"MUC2",16,7,3,0
"MUC5B",1633,1385,3,11
"TOLLIP",2619,2503,19632,20516
"LOC255512",53,76,121,174
"BRSK2",628,550,11159,11977
"MOB2",1077,980,1931,2124
"DUSP8",735,616,7424,7788
"LOC338651",44,48,1044,967
"KRTAP5-1",0,1,2,0
"KRTAP5-2",0,0,5,3
"KRTAP5-3",0,0,0,0
"KRTAP5-4",0,0,0,0
"KRTAP5-5",0,0,5,8
"FAM99A",1,2,0,0
"FAM99B",10,2,0,0
"KRTAP5-6",0,0,0,1
"IFITM10",677,625,2491,2559
"CTSD",45587,40061,24029,25682
"SYT8",55,49,0,0
"TNNI2",693,641,1,10
"LSP1",1823,1615,183,192
"MIR4298",0,0,0,0
"TNNT3",29,16,19,24
"MRPL23",2472,2304,1290,1229
"MRPL23-AS1",55,23,0,1
"H19",1914,1709,95,90
"MIR675",0,0,0,0
"INS-IGF2",0,0,0,0
"IGF2",5894,5053,34,35
"MIR483",5,0,0,0
"IGF2-AS",44,59,5,7
"INS",0,0,0,0
"TH",11,11,47,72
"MIR4686",0,0,0,0
"ASCL2",122,91,18,20
"C11orf21",72,33,27,15
"TSPAN32",71,46,9,7
"CD81",15552,14249,24347,26092
"TSSC4",1968,1603,1435,1482
"TRPM5",28,17,1,4
"KCNQ1",320,252,94,99
"KCNQ1OT1",1147,1148,739,774
"KCNQ1DN",3,0,15,12
"CDKN1C",1839,1629,2591,2783
"SLC22A18AS",43,26,30,52
"SLC22A18",1341,1016,204,216
"PHLDA2",2157,1673,72,85
"NAP1L4",11111,10482,9828,10182
"SNORA54",0,0,0,0
"CARS",5446,5229,3847,3811
"OSBPL5",1523,1393,1680,1741
"MRGPRG",0,0,0,0
"MRGPRG-AS1",2,3,0,0
"MRGPRE",10,2,12,43
"ZNF195",1990,2133,1424,1315
"LOC650368",213,251,28,27
"OR7E12P",1,0,0,0
"TRPC2",10,18,3,1
"ART5",50,56,19,9
"ART1",2,0,1,3
"CHRNA10",49,66,51,69
"NUP98",11145,10981,4393,4323
"PGAP2",1715,1615,904,1043
"RHOG",2835,2445,2286,2315
"STIM1",3896,3911,6774,6768
"MIR4687",0,0,0,0
"RRM1",11611,12025,3030,2881
"LOC100506082",10,7,6,3
"OR52B4",0,0,0,0
"TRIM21",1000,932,267,266
"OR52K2",0,0,0,0
"OR52K1",0,0,0,0
"OR52M1",0,0,0,0
"C11orf40",0,0,0,0
"OR52I2",0,0,0,0
"OR52I1",0,0,0,0
"TRIM68",818,805,1260,1295
"OR51D1",0,0,0,0
"OR51E1",0,0,12,9
"OR51E2",3,0,18,14
"OR51F1",0,0,0,0
"OR52R1",0,0,0,0
"OR51F2",0,0,0,0
"OR51S1",0,0,0,0
"OR51T1",0,0,0,0
"OR51A7",0,0,0,0
"OR51G2",0,0,0,0
"OR51G1",0,0,0,0
"OR51A4",0,0,0,0
"OR51A2",0,0,0,0
"MMP26",0,0,0,0
"OR51L1",0,0,0,0
"OR52J3",0,0,0,0
"OR52E2",0,0,0,0
"OR52A5",0,0,0,0
"OR52A1",0,0,0,0
"OR51V1",0,0,0,0
"HBB",3,3,5514,5850
"HBD",90,91,0,9
"HBBP1",95,110,0,3
"HBG1",3424,3188,4,3
"HBG2",10652,10071,8,7
"HBE1",26716,24873,14,32
"OR51B4",64,97,5,0
"OR51B2",21,3,0,0
"OR51B5",820,879,1,3
"OR51B6",4,0,0,0
"OR51M1",0,0,2,0
"OR51Q1",0,0,0,4
"OR51I1",36,33,0,0
"OR51I2",0,0,0,0
"OR52D1",0,0,0,0
"UBQLN3",0,0,0,0
"UBQLNL",25,26,3,13
"OR52H1",0,0,0,0
